director_name,director_id
,1
 ,2
Aaron Blaise,3
Adam Shankman,4
Adam Stein,5
Alan Barillaro,6
Alan Shapiro,7
Alan Taylor,8
Alan Zaslove,9
Alastair Fothergill,10
Alex Zamm,11
Alfred Gimeno,12
Alfred Werker,13
Allison Liddi-Brown,14
Alonso Ramirez Ramos,15
Alvy Smith,16
Andrew Adamson,17
Andrew Davis,18
Andrew Jimenez,19
Andrew Stanton,20
Andy Byatt,21
Andy Fickman,22
Andy Knight,23
Andy Seestedt,24
Andy Tennant,25
Angela Affinita,26
Angus MacLane,27
Ann Marie Pace,28
Anna Boden,29
Anthony Hemingway,30
Anthony Russo,31
Aphton Corbin,32
Aqsa Altaf,33
Arlene Sanford,34
Art Stevens,35
Ashley Avis,36
Ava DuVernay,37
Barry Cook,38
Ben Allen,39
Ben Crichton,40
Ben Finney,41
Ben Sharpsteen,42
Ben Wallis,43
Benjamin Gluck,44
Bernard McEveety,45
Bert Gillett,46
Beverly Joubert,47
Beyonc Knowles-Carter,48
Bill Condon,49
Bill Corcoran,50
Bill Duke,51
Bill Paxton,52
Bill Roberts,53
Bill Speers,54
Blair Treu,55
Boaz Yakin,56
Bob Hathcock,57
Bob Kline,58
Bob Peterson,59
Bob Spiers,60
Bob Strange,61
Bobby Rubio,62
Bobs Gannaway,63
Brad Bestelink,64
Brad Bird,65
Bradley Raymond,66
Brandon Hill,67
Brenda Chapman,68
Brett Morgen,69
Brett Ratner,70
Brett Sullivan,71
Brian Fee,72
Brian Henson,73
Brian Larsen,74
Brian Levant,75
Brian Pimental,76
Brian Smith,77
Bruce Bilson,78
Bruce Hendricks,79
Bruce Smith,80
Bryan Singer,81
Bud Luckey,82
Burny Mattinson,83
Burt Gillett,84
Byron Haskin,85
Byron Howard,86
C. Nichols,87
Cameron Crowe,88
Carlos Lpez Estrada,89
Carlos Saldanha,90
Cate Shortland,91
Chad Cohen,92
Charles Barton,93
Charles Draper,94
Charles Haid,95
Charles Nichols,96
Charlie Bean,97
Chris Buck,98
Chris Columbus,99
Chris Hamilton,100
Chris Rutkowski,101
Chris Williams,102
Chris Wilson,103
Christian Baumeister,104
Christopher Sanders,105
Christopher Spencer,106
Chuck Sheetz,107
Clayton Cogswell,108
Clyde Geronimi,109
Craig Gillespie,110
Crispin Sadler,111
Cristina Costantini,112
Daisy Mayer,113
Dan Abraham,114
Dan Mazer,115
Dan Oliver,116
Dan Povenmire,117
Dan Scanlon,118
Daniel Petrie,119
Daniel Smith,120
Daniel Stern,121
Darrell Rooney,122
Darren Foster,123
Dave Hand,124
Dave Hoffman,125
Dave Michener,126
Dave Mullins,127
Dave Wasson,128
David Bowers,129
David Clair,130
David Ellis,131
David Evans,132
David Frankel,133
David Gelb,134
David Grossman,135
David Hand,136
David Jackson,137
David Kellogg,138
David Lowery,139
David Lynch,140
David Mickey Evans,141
David Silverman,142
David Swift,143
Dean Cundey,144
Dean DeBlois,145
Dean Wellins,146
Dereck Joubert,147
Destin Daniel Cretton,148
Dexter Fletcher,149
Dick Lundy,150
Dick Rickard,151
Domee Shi,152
Don Bluth,153
Don Chaffey,154
Don Hahn,155
Don Hall,156
Donald Petrie,157
Donovan Cook,158
Doug Shultz,159
Doug Sweetland,160
Douglas McCarthy,161
Drew Pearce,162
Duncan Singh,163
Duwayne Dunham,164
Ed Abroms,165
Ed Wexler,166
Eddie Trigueros,167
Edith Becker,168
Edward Ludwig,169
Edwin Chang,170
Elizabeth Allen Rosenbaum,171
Elizabeth Leiter,172
Elizabeth Vasarhelyi,173
Elliot Bour,174
Emile Ardolino,175
