show_id,cast_ids
s1,640
s1,3553
s1,3577
s1,360
s1,3155
s1,761
s2,1783
s2,2743
s2,1019
s3,2981
s3,1864
s3,936
s3,2939
s4,856
s4,28
s4,949
s4,97
s4,1221
s4,1784
s5,1865
s5,2844
s5,1325
s5,3048
s6,1561
s6,3640
s7,1735
s7,1404
s7,3622
s7,1241
s7,3555
s7,3736
s8,1300
s8,2431
s8,787
s8,3180
s8,3382
s8,907
s9,1042
s9,1037
s9,648
s9,3489
s9,2609
s9,2524
s10,3370
s10,865
s10,354
s10,1167
s11,993
s11,2031
s11,2870
s11,2108
s11,2396
s11,401
s12,3749
s13,3336
s13,1862
s13,420
s13,1872
s13,3115
s13,1254
s14,1039
s14,3733
s15,2543
s16,3749
s17,1540
s17,2375
s18,2536
s18,132
s18,3055
s18,3332
s18,810
s19,552
s19,1927
s19,2121
s19,1101
s19,718
s19,1138
s20,146
s20,2811
s20,1607
s20,3517
s20,1496
s20,3395
s21,3344
s21,2147
s21,304
s21,878
s21,3455
s21,1277
s22,2159
s22,1496
s22,1907
s22,1939
s22,3208
s22,663
s23,3660
s23,2372
s23,3155
s23,375
s23,3694
s23,398
s24,1128
s24,3051
s24,227
s24,51
s24,2079
s24,3509
s25,1054
s25,1143
s25,1090
s25,1549
s25,1754
s25,2840
s26,644
s27,3749
s28,3749
s29,1939
s30,1856
s30,2009
s31,2870
s31,2206
s31,1540
s31,983
s31,190
s32,3305
s32,273
s32,3561
s32,2600
s32,2528
s32,315
s33,272
s33,2545
s33,195
s33,1565
s33,2090
s33,245
s34,2366
s34,3735
s34,58
s34,2837
s34,2009
s34,2390
s35,378
s36,3749
s37,372
s37,1218
s37,1398
s37,2819
s37,3086
s38,2172
s38,3546
s38,2856
s38,1794
s38,577
s39,800
s39,2656
s39,3722
s39,3577
s39,1415
s40,3749
s41,3749
s42,3749
s43,1659
s43,879
s43,1731
s43,1983
s43,2464
s43,1753
s44,236
s44,3307
s44,2906
s44,3050
s44,3067
s44,2419
s45,2206
s45,476
s45,3209
s45,2081
s45,2151
s45,2951
s46,347
s46,864
s46,951
s46,3212
s46,3654
s47,697
s47,849
s47,771
s47,2586
s47,313
s47,2847
s48,986
s48,1858
s48,2289
s48,2610
s48,589
s48,1057
s49,1217
s49,975
s49,1228
