FICE,College,State,Public_Private,Avg_Math_SAT,Avg_Verbal_SAT,Avg_Combined_SAT,Avg_ACT,First_Quartile_Math_SAT,Third_Quartile_Math_SAT,First_Quartile_Verbal_SAT,Third_Quartile_Verbal_SAT,First_Quartile_ACT,Third_Quartile_ACT,Applications_Received,Applicants_Accepted,New_Students_Enrolled,Pct_New_Students_Top_10,Pct_New_Students_Top_25,Fulltime_Undergraduates,Parttime_Undergraduates,In_State_Tuition,Out_Of_State_Tuition,Room_And_Board,Room_Costs,Board_Costs,Additional_Fees,Estimated_Book_Costs,Estimated_Personal_Spending,Pct_Faculty_PhD,Pct_Faculty_Terminal_Degree,Student_Faculty_Ratio,Pct_Alumni_Donate,Instructional_Expenditure_Per_Student,Graduation_Rate
1061,Alaska Pacific University,AK,2,490.0,482.0,972.0,20.0,440.0,530.0,430.0,550.0,18.0,22.0,193.0,146.0,55.0,16.0,44.0,249.0,869.0,7560.0,7560.0,4120.0,1620.0,2500.0,130.0,800.0,1500.0,76.0,72.0,11.9,2.0,10922.0,15.0
1063,University of Alaska at Fairbanks,AK,1,499.0,462.0,961.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1852.0,1427.0,928.0,-1.0,-1.0,3885.0,4519.0,1742.0,5226.0,3590.0,1800.0,1790.0,155.0,650.0,2304.0,67.0,77.0,10.0,8.0,11935.0,-1.0
1065,University of Alaska Southeast,AK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,146.0,117.0,89.0,4.0,24.0,492.0,1849.0,1742.0,5226.0,4764.0,2514.0,2250.0,34.0,500.0,1162.0,39.0,51.0,9.5,19.0,9584.0,39.0
11462,University of Alaska at Anchorage,AK,1,459.0,422.0,881.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2065.0,1598.0,1162.0,-1.0,-1.0,6209.0,10537.0,1742.0,5226.0,5120.0,2600.0,2520.0,114.0,580.0,1260.0,48.0,77.0,13.7,6.0,8046.0,-1.0
1002,Alabama Agri. & Mech. Univ.,AL,1,-1.0,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,14.0,17.0,2817.0,1920.0,984.0,-1.0,-1.0,3958.0,305.0,1700.0,3400.0,2550.0,1108.0,1442.0,155.0,500.0,850.0,53.0,53.0,14.3,19.0,7043.0,40.0
1003,Faulkner University,AL,2,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,345.0,320.0,179.0,-1.0,27.0,1367.0,578.0,5600.0,5600.0,3250.0,1550.0,1700.0,300.0,350.0,-1.0,52.0,56.0,32.8,19.0,3971.0,55.0
1004,University of Montevallo,AL,1,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,18.0,23.0,1351.0,892.0,570.0,18.0,78.0,2385.0,331.0,2220.0,4440.0,3030.0,-1.0,-1.0,124.0,300.0,600.0,72.0,72.0,18.9,8.0,5883.0,51.0
1005,Alabama State University,AL,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4639.0,3272.0,1278.0,-1.0,-1.0,4051.0,405.0,1500.0,3000.0,1960.0,1960.0,-1.0,84.0,500.0,-1.0,48.0,53.0,18.7,19.0,7729.0,15.0
1009,Auburn University-Main Campus,AL,1,575.0,501.0,1076.0,24.0,520.0,638.0,453.0,559.0,21.0,27.0,7548.0,6791.0,3070.0,25.0,57.0,16262.0,1716.0,2100.0,6300.0,3933.0,-1.0,-1.0,-1.0,600.0,1908.0,85.0,91.0,16.7,18.0,6642.0,69.0
1012,Birmingham-Southern College,AL,2,575.0,525.0,1100.0,26.0,470.0,680.0,460.0,650.0,23.0,29.0,805.0,588.0,287.0,67.0,88.0,1376.0,207.0,11660.0,11660.0,4325.0,2050.0,2430.0,120.0,400.0,900.0,74.0,79.0,14.0,34.0,8649.0,72.0
1016,University of North Alabama,AL,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1087.0,702.0,625.0,-1.0,40.0,3772.0,1034.0,1704.0,2970.0,2536.0,1336.0,1200.0,20.0,500.0,-1.0,62.0,68.0,19.4,5.0,4944.0,76.0
1019,Huntingdon College,AL,2,513.0,446.0,959.0,23.0,480.0,570.0,400.0,530.0,20.0,24.0,608.0,520.0,127.0,26.0,47.0,538.0,126.0,8080.0,8080.0,3920.0,1380.0,2540.0,100.0,500.0,1100.0,63.0,72.0,11.4,9.0,7703.0,44.0
1020,Jacksonville State University,AL,1,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1.0,-1.0,17.0,22.0,1627.0,1413.0,887.0,-1.0,-1.0,5160.0,1475.0,1740.0,2610.0,2600.0,1030.0,1570.0,85.0,570.0,1500.0,66.0,67.0,20.1,6.0,4604.0,33.0
1023,Judson College,AL,2,-1.0,-1.0,-1.0,22.0,-1.0,-1.0,-1.0,-1.0,19.0,24.0,313.0,228.0,137.0,10.0,30.0,552.0,67.0,5780.0,5780.0,3600.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.0,70.0,17.9,27.0,5159.0,43.0
1024,Livingston University,AL,1,-1.0,-1.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,16.0,21.0,1206.0,957.0,444.0,-1.0,-1.0,1627.0,132.0,1740.0,1740.0,2449.0,1162.0,1287.0,243.0,570.0,2100.0,58.0,58.0,18.8,4.0,4272.0,36.0
1028,Miles College,AL,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,686.0,427.0,242.0,-1.0,-1.0,746.0,123.0,4000.0,4000.0,2700.0,1250.0,1450.0,-1.0,600.0,1000.0,35.0,77.0,16.7,2.0,4455.0,15.0
1029,University of Mobile,AL,2,-1.0,-1.0,-1.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,452.0,331.0,269.0,17.0,54.0,1417.0,301.0,6150.0,6150.0,3680.0,-1.0,-1.0,70.0,550.0,1200.0,59.0,63.0,16.6,4.0,5412.0,52.0
