PassengerId,Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,Third,Mr.,M,22,1,0,7.25,Southampton
2,1,First,Mrs.,F,38,1,0,71.2833,Cherbourg
3,1,Third,Miss.,F,26,0,0,7.925,Southampton
4,1,First,Mrs.,F,35,1,0,53.1,Southampton
5,0,Third,Mr.,M,35,0,0,8.05,Southampton
6,0,Third,Mr.,M,28,0,0,8.4583,Queenstown
7,0,First,Mr.,M,54,0,0,51.8625,Southampton
8,0,Third,Master.,M,2,3,1,21.075,Southampton
9,1,Third,Mrs.,F,27,0,2,11.1333,Southampton
10,1,Second,Mrs.,F,14,1,0,30.0708,Cherbourg
11,1,Third,Miss.,F,4,1,1,16.7,Southampton
12,1,First,Miss.,F,58,0,0,26.55,Southampton
13,0,Third,Mr.,M,20,0,0,8.05,Southampton
14,0,Third,Mr.,M,39,1,5,31.275,Southampton
15,0,Third,Miss.,F,14,0,0,7.8542,Southampton
16,1,Second,Mrs.,F,55,0,0,16,Southampton
17,0,Third,Master.,M,2,4,1,29.125,Queenstown
18,1,Second,Mr.,M,28,0,0,13,Southampton
19,0,Third,Mrs.,F,31,1,0,18,Southampton
20,1,Third,Mrs.,F,28,0,0,7.225,Cherbourg
21,0,Second,Mr.,M,35,0,0,26,Southampton
22,1,Second,Mr.,M,34,0,0,13,Southampton
23,1,Third,Miss.,F,15,0,0,8.0292,Queenstown
24,1,First,Mr.,M,28,0,0,35.5,Southampton
25,0,Third,Miss.,F,8,3,1,21.075,Southampton
26,1,Third,Mrs.,F,38,1,5,31.3875,Southampton
27,0,Third,Mr.,M,28,0,0,7.225,Cherbourg
28,0,First,Mr.,M,19,3,2,263,Southampton
29,1,Third,Miss.,F,28,0,0,7.8792,Queenstown
30,0,Third,Mr.,M,28,0,0,7.8958,Southampton
31,0,First,Don.,M,40,0,0,27.7208,Cherbourg
32,1,First,Mrs.,F,28,1,0,146.5208,Cherbourg
33,1,Third,Miss.,F,28,0,0,7.75,Queenstown
34,0,Second,Mr.,M,66,0,0,10.5,Southampton
35,0,First,Mr.,M,28,1,0,82.1708,Cherbourg
36,0,First,Mr.,M,42,1,0,52,Southampton
37,1,Third,Mr.,M,28,0,0,7.2292,Cherbourg
38,0,Third,Mr.,M,21,0,0,8.05,Southampton
39,0,Third,Miss.,F,18,2,0,18,Southampton
40,1,Third,Miss.,F,14,1,0,11.2417,Cherbourg
41,0,Third,Mrs.,F,40,1,0,9.475,Southampton
42,0,Second,Mrs.,F,27,1,0,21,Southampton
43,0,Third,Mr.,M,28,0,0,7.8958,Cherbourg
44,1,Second,Miss.,F,3,1,2,41.5792,Cherbourg
45,1,Third,Miss.,F,19,0,0,7.8792,Queenstown
46,0,Third,Mr.,M,28,0,0,8.05,Southampton
47,0,Third,Mr.,M,28,1,0,15.5,Queenstown
48,1,Third,Miss.,F,28,0,0,7.75,Queenstown
49,0,Third,Mr.,M,28,2,0,21.6792,Cherbourg
50,0,Third,Mrs.,F,18,1,0,17.8,Southampton
51,0,Third,Master.,M,7,4,1,39.6875,Southampton
52,0,Third,Mr.,M,21,0,0,7.8,Southampton
53,1,First,Mrs.,F,49,1,0,76.7292,Cherbourg
54,1,Second,Mrs.,F,29,1,0,26,Southampton
55,0,First,Mr.,M,65,0,1,61.9792,Cherbourg
56,1,First,Mr.,M,28,0,0,35.5,Southampton
57,1,Second,Miss.,F,21,0,0,10.5,Southampton
58,0,Third,Mr.,M,28.5,0,0,7.2292,Cherbourg
59,1,Second,Miss.,F,5,1,2,27.75,Southampton
60,0,Third,Master.,M,11,5,2,46.9,Southampton
61,0,Third,Mr.,M,22,0,0,7.2292,Cherbourg
62,1,First,Miss.,F,38,0,0,80,Southampton
63,0,First,Mr.,M,45,1,0,83.475,Southampton
64,0,Third,Master.,M,4,3,2,27.9,Southampton
65,0,First,Mr.,M,28,0,0,27.7208,Cherbourg
66,1,Third,Master.,M,28,1,1,15.2458,Cherbourg
67,1,Second,Mrs.,F,29,0,0,10.5,Southampton
68,0,Third,Mr.,M,19,0,0,8.1583,Southampton
69,1,Third,Miss.,F,17,4,2,7.925,Southampton
70,0,Third,Mr.,M,26,2,0,8.6625,Southampton
