show_id,type,title,date_added,release_year,rating,duration,description
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,2021-11-26,2016,TV-G,23 min,Join Mickey and the gang as they duck the halls!
s2,Movie,Ernest Saves Christmas,2021-11-26,1988,PG,91 min,Santa Claus passes his magic bag to a new St. Nic.
s3,Movie,Ice Age: A Mammoth Christmas,2021-11-26,2011,TV-G,23 min,Sid the Sloth is on Santa's naughty list.
s4,Movie,The Queen Family Singalong,2021-11-26,2021,TV-PG,41 min,"This is real life, not just fantasy!"
s5,TV Show,The Beatles: Get Back,2021-11-25,2021,,1 Season,A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.
s6,Movie,Becoming Cousteau,2021-11-24,2021,PG-13,94 min,An inside look at the legendary life of adventurer Jacques-Yves Cousteau.
s7,TV Show,Hawkeye,2021-11-24,2021,TV-14,1 Season,Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.
s8,TV Show,Port Protection Alaska,2021-11-24,2015,TV-14,2 Seasons,Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.
s9,TV Show,Secrets of the Zoo: Tampa,2021-11-24,2019,TV-PG,2 Seasons,A day in the life at ZooTampa is anything but ordinary. It's extraordinary!
s10,Movie,A Muppets Christmas: Letters To Santa,2021-11-19,2008,G,45 min,Celebrate the holiday season with all your favorite Muppets.
s11,Movie,Adventure Thru the Walt Disney Archives,2021-11-19,2020,TV-PG,59 min,Explore the treasures and rich history of the Walt Disney Archives.
s12,Movie,Puppy for Hanukkah,2021-11-19,2020,TV-G,4 min,"Check out Daveed Digg's official music video ""Puppy for Hanukkah!"""
s13,Movie,The Pixar Story,2021-11-19,2007,G,91 min,A groundbreaking company forever changes the face of filmmaking.
s14,TV Show,"Dr. Oakley, Yukon Vet",2021-11-17,2013,TV-PG,10 Seasons,"Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon."
s15,Movie,America the Beautiful,2021-11-12,2021,TV-PG,2 min,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022."
