genre_name,genre_id
Action-Adventure,1
Animals & Nature,2
Animation,3
Anime,4
Anthology,5
Biographical,6
Buddy,7
Comedy,8
Coming of Age,9
Concert Film,10
Crime,11
Dance,12
Disaster,13
Documentary,14
Docuseries,15
Drama,16
Family,17
Fantasy,18
Game Show / Competition,19
Historical,20
Kids,21
Lifestyle,22
Medical,23
Movies,24
Music,25
Musical,26
Mystery,27
Parody,28
Police/Cop,29
Reality,30
Romance,31
Romantic Comedy,32
Science Fiction,33
Series,34
Soap Opera / Melodrama,35
Sports,36
Spy/Espionage,37
Superhero,38
Survival,39
Talk Show,40
Thriller,41
Travel,42
Variety,43
Western,44
