show_id,country_ids
s1,48
s2,48
s3,47
s4,48
s5,48
s6,47
s7,48
s8,47
s9,47
s10,47
s11,48
s12,48
s13,47
s14,47
s15,48
s16,48
s17,48
s18,47
s18,8
s19,48
s20,47
s21,47
s22,47
s23,47
s24,47
s25,47
s26,48
s27,48
s28,48
s29,48
s30,47
s31,48
s32,47
s32,3
s33,48
s34,47
s35,48
s36,47
s37,48
s38,48
s39,48
s40,47
s41,48
s42,48
s43,47
s44,47
s45,47
s46,48
s47,47
s47,8
s48,47
s49,47
s49,8
s50,8
s51,47
s51,46
s52,47
s52,37
s53,47
s54,48
s55,48
s56,47
s57,47
s58,20
s58,47
s58,8
s58,46
s58,11
s58,38
s58,32
s58,17
s59,13
s59,46
s60,48
s61,48
s62,48
s63,48
s64,48
s65,48
s66,48
s67,48
s68,48
s69,48
s70,48
s71,48
s72,48
s73,48
s74,48
s75,47
s76,46
s76,3
s77,48
s78,47
s79,47
s80,47
s81,47
s82,47
s83,48
s84,47
s84,46
s85,48
s86,20
s86,47
s87,47
s88,48
s89,48
s90,8
s90,47
s90,13
s91,48
s92,48
s93,47
s94,48
s95,47
s95,8
s96,47
s97,47
s98,47
s99,48
s100,47
s101,48
s102,48
s103,48
s104,48
s105,48
s106,48
s107,47
s108,13
s108,37
s108,21
s108,47
s109,48
s110,48
s111,47
s111,46
s112,47
s113,47
s114,47
s115,47
s116,47
s117,47
s118,47
s118,8
s119,47
s120,47
s121,47
s121,46
s122,47
s123,48
s124,47
s125,47
s126,48
s127,13
s128,47
s129,47
s129,46
s129,17
s130,48
s131,47
s131,14
s132,47
s133,48
s134,47
s135,48
s136,47
s137,48
s138,47
s139,47
s140,48
s141,47
s142,48
s143,48
s144,48
s145,47
s146,48
s147,47
s148,47
s149,47
s150,48
s151,48
s152,47
s152,46
s152,3
s153,48
s154,48
s155,48
s156,48
s157,48
s158,48
s159,48
s160,47
s160,46
s161,48
s162,48
s163,48
s164,48
s165,48
s166,48
s167,48
s168,48
s169,47
s170,48
s171,48
s172,47
s173,47
s173,46
s174,48
s175,48
s176,48
s177,47
s178,48
s179,48
s180,47
s181,47
s182,47
s183,47
s184,48
s185,47
s186,47
s187,47
s188,47
s189,47
s190,47
s191,48
s192,8
s193,47
s194,47
s195,47
s196,48
s197,47
s197,18
s198,47
s198,8
s198,46
s198,34
s198,3
s198,44
s199,47
s200,8
s200,47
s201,47
s202,48
s203,47
s204,37
s204,47
s204,9
s204,21
s205,47
s206,47
s207,48
s208,48
s209,3
s209,46
s210,48
s211,47
s212,48
s213,48
s214,48
s215,48
s216,48
s217,47
s218,47
s218,37
s219,48
s220,46
s221,47
s222,47
s223,48
s224,47
s225,47
s225,46
s225,37
s226,47
s226,46
s226,8
s227,47
s228,47
s228,14
s228,46
s229,47
s229,8
s229,20
s230,47
s231,48
s232,48
s233,48
s234,48
s235,47
s236,48
s237,48
s238,48
s239,47
s240,47
s241,47
s242,47
s243,47
s244,48
s245,48
s246,48
s247,47
s248,47
s248,7
s249,46
s249,47
s250,47
s250,8
s251,47
s252,47
s253,47
s254,47
s255,47
s256,8
