show_id,director_ids
s1,15
s1,128
s2,295
s3,327
s4,221
s5,635
s6,376
s7,635
s8,635
s9,635
s10,352
s11,296
s12,635
s13,371
s14,635
s15,635
s16,635
s17,409
s18,635
s19,635
s20,349
s21,453
s22,98
s22,270
s23,361
s24,115
s25,259
s26,635
s27,635
s28,635
s29,635
s30,301
s31,635
s32,148
s33,384
s34,439
s34,86
s35,575
s35,347
s36,514
s37,130
s38,635
s39,142
s40,146
s41,635
s42,635
s43,425
s44,75
s45,11
s46,347
s46,575
s47,507
s48,507
s49,507
s50,507
s51,407
s52,635
s53,635
s54,635
s55,635
s56,445
s57,121
s58,153
s58,200
s59,635
s60,635
s61,282
s62,40
s63,635
s64,635
s65,635
s66,635
s67,635
s68,635
s69,635
s70,266
s71,353
s72,125
s73,11
s74,635
s75,91
s76,635
s77,635
s78,298
s78,257
s79,635
s80,635
s81,595
s82,615
s83,337
s84,505
s85,15
s85,167
s85,128
s86,635
s87,635
s88,635
s89,635
s90,635
s91,635
s92,635
s93,635
s94,258
s94,364
s95,507
s96,317
s97,635
s98,635
s99,635
s100,451
s101,529
s102,260
s103,330
s104,635
s105,378
s106,635
s107,635
s108,635
s109,635
s110,635
s111,494
s112,32
s113,635
s114,635
s115,635
s116,635
s117,503
s117,453
s118,548
s119,635
s120,635
s121,110
s122,465
s123,437
s124,162
s125,195
s126,635
s127,635
s128,635
s129,554
s130,635
s131,596
s132,81
s133,635
s134,635
s135,635
s136,635
s137,635
s138,11
s139,372
s140,635
s141,99
s142,635
s143,635
s144,393
s145,466
s146,635
s147,635
s148,635
s149,635
s150,635
s151,635
s152,90
s153,635
s154,472
s155,635
s156,357
s157,38
s157,442
s158,635
s159,635
s160,635
s161,635
s162,635
s163,635
s164,635
s165,635
s166,635
s167,635
s168,24
s169,88
s170,635
s171,345
s172,635
s173,419
s174,588
s175,545
s176,400
s177,528
s178,240
s178,459
s178,245
s179,400
s180,635
s181,635
s182,635
s183,635
s184,142
s185,635
s186,141
s187,141
s188,99
s189,635
s190,635
s191,134
s192,635
s193,635
s194,635
s195,177
s196,635
s197,635
s198,203
s199,449
s200,4
s201,635
s202,635
s203,635
s204,635
s205,156
s205,89
s206,30
s207,631
s208,33
s209,635
s210,222
s211,635
s212,28
s213,635
s214,555
s215,277
s216,434
s217,635
s218,635
s219,635
s220,635
s221,562
s222,635
s223,635
s224,635
s225,635
s226,70
s227,635
s228,596
s229,635
s230,564
s231,142
s232,635
s233,635
s234,635
s235,635
s236,350
s237,635
s238,344
s239,635
s240,194
s241,454
s242,602
s243,635
s244,635
s245,635
s246,635
s247,635
s248,90
s249,291
s250,507
s251,338
s252,159
s253,635
s254,635
s255,254
s256,119
s257,629
s258,302
s259,285
s259,339
s260,635
s261,504
s262,635
s263,543
s264,635
s265,635
s266,635
s267,635
s268,635
s269,133
s270,539
s271,334
s272,635
s273,332
s274,635
s275,635
s276,635
s277,344
s278,635
s279,635
s280,100
s281,635
s282,592
s283,112
s283,123
s284,595
s285,635
s286,635
s287,635
s288,635
s289,635
s290,635
s291,265
s292,147
s292,47
s293,635
s294,635
s295,635
s296,543
s297,4
s298,366
s299,316
s300,635
s301,635
s302,635
s303,499
s304,22
s305,344
s306,330
s307,293
s308,635
s309,635
s310,438
s311,635
s312,223
s313,635
s314,621
s315,494
s316,635
s317,635
s318,90
s319,635
s320,566
s321,380
s322,635
s323,287
s323,563
s324,400
s325,67
s325,388
s326,382
s327,635
s328,635
s329,595
s330,460
s331,635
s332,635
s333,635
s334,421
s335,494
s336,588
s337,635
s338,635
s339,635
s340,635
s341,635
s342,635
s343,487
s343,471
s344,483
s345,153
s345,200
s346,542
s347,635
s348,445
s349,425
s350,635
s351,360
s351,292
s352,423
s353,36
s354,26
s355,635
s356,635
s357,635
s358,635
s359,635
s360,355
s361,63
s362,635
s363,635
s364,337
s365,99
s366,99
s367,475
s368,635
s369,587
s369,630
s370,469
s371,510
s372,635
s373,635
s374,553
s375,347
s375,575
s376,347
s376,575
s377,607
s378,635
s379,314
s380,635
s381,635
s382,635
s383,635
s384,114
s384,606
s385,41
s386,27
s387,475
s388,326
s389,484
s390,368
s391,635
s392,635
s393,635
s394,410
s395,635
s396,104
s397,81
s398,558
s399,242
s399,241
s400,585
s401,635
s402,635
s403,433
s404,635
s405,635
s406,635
s407,635
s408,635
s409,25
s410,635
s411,395
s412,185
s412,547
s412,320
s413,635
s414,635
s415,635
s416,386
s417,530
s418,500
s419,635
s420,236
s421,244
s422,635
s423,635
s424,49
s425,401
s426,584
s427,635
s428,635
s429,456
s430,635
s431,635
s432,399
s433,470
s434,635
s435,635
s436,635
s437,635
s438,413
s439,635
s440,635
s441,155
s442,426
s443,635
s444,43
s444,176
s444,276
s445,563
s446,635
s447,635
s448,635
s449,275
s450,48
s451,593
s452,635
s453,635
s454,116
s455,65
s456,635
s457,279
s458,635
s459,635
s460,552
s461,635
s462,288
s462,183
s463,635
s464,635
s465,635
s466,635
s467,623
s468,129
s469,635
s470,635
s471,635
s472,311
s473,635
s474,81
s475,635
s476,635
s477,518
s478,81
s479,635
s480,635
s481,129
s482,590
s483,428
s484,22
s485,229
s486,558
s487,314
s488,635
s489,635
s490,618
s491,618
s492,31
s492,294
s493,349
s493,98
s494,77
s495,635
s496,635
s497,635
s498,39
s498,601
s499,312
s500,458
s501,38
s502,192
s502,495
s503,340
s504,635
s505,220
s505,504
s506,623
s506,626
s507,586
s508,635
s509,635
s510,343
s511,635
s512,635
s513,99
s514,635
s515,635
s516,635
s517,635
s518,635
s519,96
s520,635
s521,253
s522,635
s523,621
s524,207
s525,635
s526,571
s527,635
s528,269
s528,216
s529,635
s530,288
s531,233
s532,20
s533,635
s534,635
s535,450
s536,635
s537,635
s538,530
s539,131
s540,164
s541,238
s542,243
s543,635
