show_id,genre_ids
s1,3
s1,17
s2,8
s3,3
s3,8
s3,17
s4,26
s5,15
s5,20
s5,25
s6,6
s6,14
s7,1
s7,38
s8,15
s8,30
s8,39
s9,2
s9,15
s9,17
s10,8
s10,17
s10,26
s11,14
s12,8
s12,17
s12,25
s13,14
s13,17
s14,1
s14,2
s14,15
s15,2
s16,3
s17,3
s17,8
s17,17
s18,3
s18,21
s19,8
s19,9
s19,16
s20,8
s20,17
s20,18
s21,3
s21,8
s21,16
s22,3
s22,17
s22,18
s23,1
s23,3
s23,8
s24,8
s24,17
s25,1
s25,8
s25,17
s26,22
s27,24
s28,1
s28,33
s29,3
s29,17
s30,3
s30,8
s30,17
s31,24
s32,1
s32,18
s32,38
s33,9
s33,25
s34,3
s34,17
s35,3
s35,17
s35,18
s36,3
s36,16
s37,10
s37,25
s38,3
s38,8
s38,9
s39,3
s39,8
s40,3
s40,11
s40,17
s41,33
s42,1
s42,18
s43,8
s43,17
s43,25
s44,8
s44,17
s45,8
s45,17
s46,3
s46,17
s46,18
s47,8
s47,18
s47,21
s48,1
s48,8
s48,21
s49,1
s49,8
s49,21
s50,16
s50,17
s50,18
s51,1
s51,33
s51,38
s52,3
s52,8
s52,17
s53,2
s53,15
s53,17
s54,1
s54,2
s54,15
s55,6
s55,14
s56,16
s56,36
s57,8
s57,17
s57,36
s58,3
s58,17
s58,18
s59,1
s59,3
s59,21
s60,2
s60,30
s61,14
s61,20
s62,14
s63,15
s63,20
s64,5
s64,8
s64,9
s65,2
s65,15
s65,17
s66,30
s67,2
s67,15
s67,23
s68,3
s68,9
s68,18
s69,8
s70,3
s70,17
s70,18
s71,8
s71,17
s71,26
s72,17
s72,43
s73,1
s73,8
s73,21
s74,15
s75,1
s75,33
s75,37
s76,15
s76,20
s77,15
s77,20
s78,6
s78,14
s79,15
s80,3
s80,7
s80,9
s81,3
s81,8
s81,17
s82,8
s82,17
s82,25
s83,1
s83,3
s83,33
s84,1
s84,17
s84,18
s85,3
s85,17
s85,28
s86,3
s86,18
s86,21
s87,17
s87,19
s88,2
s88,15
s89,21
s89,25
s90,3
s90,33
s91,3
s91,5
s91,33
s92,2
s92,15
s92,30
s93,3
s93,8
s94,14
s95,8
s95,18
s95,21
s96,9
s96,16
s96,31
s97,2
s97,15
s97,17
s98,1
s98,3
s98,21
s99,1
s99,3
s99,4
s100,8
s100,31
s100,32
s101,3
s101,18
s101,26
s102,10
s102,25
s103,14
s104,2
s104,14
s105,3
s105,8
s105,17
s106,2
s106,14
s107,1
s107,2
s107,15
s108,1
s108,3
s108,18
s109,2
s109,15
s110,8
s111,1
s111,18
s112,3
s112,17
s113,8
s113,9
s113,17
